SaleID,price
150000,37247
150001,327
150002,6135
150003,11484
150004,644
150005,2051
150006,4793
150007,10133
150008,1826
150009,2169
150010,1793
150011,6695
150012,2511
150013,11731
150014,11181
150015,393
150016,595
150017,5099
150018,11240
150019,1342
150020,5065
150021,13509
150022,1450
150023,15451
150024,1731
150025,6232
150026,1253
150027,3940
150028,22497
150029,15480
150030,1338
150031,246
150032,3927
150033,2673
150034,3192
150035,7738
150036,1007
150037,3916
150038,26384
150039,1846
150040,14207
150041,5107
150042,15849
150043,25376
150044,5763
150045,2361
150046,2759
150047,47736
150048,1243
150049,36808
150050,5201
150051,9145
150052,873
150053,435
150054,14641
150055,4639
150056,912
150057,2547
150058,1157
150059,2290
150060,8979
150061,3299
150062,873
150063,11149
150064,21007
150065,9025
150066,12764
150067,3812
150068,784
150069,2556
150070,1843
150071,603
150072,977
150073,23696
150074,268
150075,1170
150076,1483
150077,5381
150078,2667
150079,3169
150080,2830
150081,8907
150082,15110
150083,450
150084,3790
150085,3522
150086,35956
150087,350
150088,2921
150089,3023
150090,1198
150091,6585
150092,5462
150093,1024
150094,10674
150095,153
150096,15777
150097,9204
150098,492
150099,407
150100,532
150101,4340
150102,1575
150103,2641
150104,4139
150105,999
150106,2111
150107,603
150108,7429
150109,1945
150110,2690
150111,10796
150112,10600
150113,1587
150114,867
150115,2468
150116,6254
150117,3030
150118,22527
150119,9828
150120,14523
150121,2134
150122,7596
150123,48
150124,13876
150125,4450
150126,2193
150127,15879
150128,31843
150129,2791
150130,3705
150131,921
150132,3986
150133,6001
150134,15148
150135,1284
150136,1538
150137,2842
150138,6929
150139,1011
150140,1349
150141,2616
150142,9004
150143,5653
150144,900
150145,2017
150146,6742
150147,2045
150148,2413
150149,672
150150,3505
150151,6922
150152,1045
150153,902
150154,19598
150155,2713
150156,357
150157,5043
150158,1356
150159,11224
150160,47737
150161,966
150162,812
150163,776
150164,4951
150165,3518
150166,6430
150167,2337
150168,5124
150169,2469
150170,3283
150171,3632
150172,1974
150173,6394
150174,2927
150175,654
150176,23034
150177,216
150178,1698
150179,3603
150180,796
150181,1380
150182,5501
150183,787
150184,719
150185,9203
150186,2574
150187,18118
150188,2862
150189,4915
150190,5451
150191,101
150192,1689
150193,4391
150194,16105
150195,807
150196,18052
150197,3391
150198,3497
150199,3161
150200,2371
150201,9948
150202,1901
150203,439
150204,3740
150205,1095
150206,12054
150207,1437
150208,1400
150209,1810
150210,6077
150211,9609
150212,9235
150213,1162
150214,4726
150215,128
150216,24621
150217,2268
150218,10698
150219,10364
150220,2850
150221,9073
150222,1025
150223,3936
